,Ambient Pressure [Pa],dT [K],$k$ [m/s]
0,101300.0,1.0,1.615587133892632e-18
0,101300.0,1.7959183673469388,1.615587133892632e-18
0,101300.0,2.5918367346938775,1.8175355256292112e-18
0,101300.0,3.387755102040816,1.615587133892632e-18
0,101300.0,4.183673469387755,1.2116903504194741e-18
0,101300.0,4.979591836734694,1.8175355256292112e-18
0,101300.0,5.775510204081632,1.2116903504194741e-18
0,101300.0,6.571428571428571,1.8175355256292112e-18
0,101300.0,7.36734693877551,1.2116903504194741e-18
0,101300.0,8.16326530612245,1.615587133892632e-18
0,101300.0,8.959183673469388,1.2116903504194741e-18
0,101300.0,9.755102040816327,1.615587133892632e-18
0,101300.0,10.551020408163264,1.615587133892632e-18
0,101300.0,11.346938775510203,1.615587133892632e-18
0,101300.0,12.142857142857142,1.2116903504194741e-18
0,101300.0,12.938775510204081,1.8175355256292112e-18
0,101300.0,13.73469387755102,1.2116903504194741e-18
0,101300.0,14.53061224489796,1.615587133892632e-18
0,101300.0,15.326530612244898,1.615587133892632e-18
0,101300.0,16.122448979591837,1.4136387421560532e-18
0,101300.0,16.918367346938776,1.8175355256292112e-18
0,101300.0,17.714285714285715,1.8175355256292112e-18
0,101300.0,18.510204081632654,1.615587133892632e-18
0,101300.0,19.306122448979593,1.2116903504194741e-18
0,101300.0,20.10204081632653,1.2116903504194741e-18
0,101300.0,20.897959183673468,1.615587133892632e-18
0,101300.0,21.693877551020407,1.2116903504194741e-18
0,101300.0,22.489795918367346,1.8175355256292112e-18
0,101300.0,23.285714285714285,
0,101300.0,24.081632653061224,
0,101300.0,24.877551020408163,
0,101300.0,25.6734693877551,
0,101300.0,26.46938775510204,
0,101300.0,27.26530612244898,
0,101300.0,28.06122448979592,
0,101300.0,28.857142857142858,
0,101300.0,29.653061224489797,
0,101300.0,30.448979591836736,
0,101300.0,31.244897959183675,
0,101300.0,32.04081632653062,
0,101300.0,32.83673469387755,
0,101300.0,33.63265306122449,
0,101300.0,34.42857142857143,
0,101300.0,35.224489795918366,
0,101300.0,36.02040816326531,
0,101300.0,36.816326530612244,
0,101300.0,37.61224489795919,
0,101300.0,38.40816326530612,
0,101300.0,39.20408163265306,
0,101300.0,40.0,
0,107422.44897959183,1.0,1.615587133892632e-18
0,107422.44897959183,1.7959183673469388,1.8175355256292112e-18
0,107422.44897959183,2.5918367346938775,1.2116903504194741e-18
0,107422.44897959183,3.387755102040816,1.4136387421560532e-18
0,107422.44897959183,4.183673469387755,1.8175355256292112e-18
0,107422.44897959183,4.979591836734694,1.8175355256292112e-18
0,107422.44897959183,5.775510204081632,1.615587133892632e-18
0,107422.44897959183,6.571428571428571,1.8175355256292112e-18
0,107422.44897959183,7.36734693877551,1.2116903504194741e-18
0,107422.44897959183,8.16326530612245,1.8175355256292112e-18
0,107422.44897959183,8.959183673469388,1.2116903504194741e-18
0,107422.44897959183,9.755102040816327,1.8175355256292112e-18
0,107422.44897959183,10.551020408163264,1.8175355256292112e-18
0,107422.44897959183,11.346938775510203,1.2116903504194741e-18
0,107422.44897959183,12.142857142857142,1.2116903504194741e-18
0,107422.44897959183,12.938775510204081,1.615587133892632e-18
0,107422.44897959183,13.73469387755102,1.615587133892632e-18
0,107422.44897959183,14.53061224489796,1.615587133892632e-18
0,107422.44897959183,15.326530612244898,1.2116903504194741e-18
0,107422.44897959183,16.122448979591837,1.2116903504194741e-18
0,107422.44897959183,16.918367346938776,1.8175355256292112e-18
0,107422.44897959183,17.714285714285715,1.8175355256292112e-18
0,107422.44897959183,18.510204081632654,1.615587133892632e-18
0,107422.44897959183,19.306122448979593,1.2116903504194741e-18
0,107422.44897959183,20.10204081632653,1.2116903504194741e-18
0,107422.44897959183,20.897959183673468,1.8175355256292112e-18
0,107422.44897959183,21.693877551020407,1.615587133892632e-18
0,107422.44897959183,22.489795918367346,1.8175355256292112e-18
0,107422.44897959183,23.285714285714285,
0,107422.44897959183,24.081632653061224,
0,107422.44897959183,24.877551020408163,
0,107422.44897959183,25.6734693877551,
0,107422.44897959183,26.46938775510204,
0,107422.44897959183,27.26530612244898,
0,107422.44897959183,28.06122448979592,
0,107422.44897959183,28.857142857142858,
0,107422.44897959183,29.653061224489797,
0,107422.44897959183,30.448979591836736,
0,107422.44897959183,31.244897959183675,
0,107422.44897959183,32.04081632653062,
0,107422.44897959183,32.83673469387755,
0,107422.44897959183,33.63265306122449,
0,107422.44897959183,34.42857142857143,
0,107422.44897959183,35.224489795918366,
0,107422.44897959183,36.02040816326531,
0,107422.44897959183,36.816326530612244,
0,107422.44897959183,37.61224489795919,
0,107422.44897959183,38.40816326530612,
0,107422.44897959183,39.20408163265306,
0,107422.44897959183,40.0,
0,113544.89795918367,1.0,1.615587133892632e-18
0,113544.89795918367,1.7959183673469388,1.615587133892632e-18
0,113544.89795918367,2.5918367346938775,1.8175355256292112e-18
0,113544.89795918367,3.387755102040816,1.2116903504194741e-18
0,113544.89795918367,4.183673469387755,1.2116903504194741e-18
0,113544.89795918367,4.979591836734694,1.2116903504194741e-18
0,113544.89795918367,5.775510204081632,1.615587133892632e-18
0,113544.89795918367,6.571428571428571,1.8175355256292112e-18
0,113544.89795918367,7.36734693877551,1.8175355256292112e-18
0,113544.89795918367,8.16326530612245,1.2116903504194741e-18
0,113544.89795918367,8.959183673469388,1.2116903504194741e-18
0,113544.89795918367,9.755102040816327,1.2116903504194741e-18
0,113544.89795918367,10.551020408163264,1.8175355256292112e-18
0,113544.89795918367,11.346938775510203,1.4136387421560532e-18
0,113544.89795918367,12.142857142857142,1.2116903504194741e-18
0,113544.89795918367,12.938775510204081,1.8175355256292112e-18
0,113544.89795918367,13.73469387755102,1.2116903504194741e-18
0,113544.89795918367,14.53061224489796,1.615587133892632e-18
0,113544.89795918367,15.326530612244898,1.615587133892632e-18
0,113544.89795918367,16.122448979591837,1.2116903504194741e-18
0,113544.89795918367,16.918367346938776,1.8175355256292112e-18
0,113544.89795918367,17.714285714285715,1.615587133892632e-18
0,113544.89795918367,18.510204081632654,1.615587133892632e-18
0,113544.89795918367,19.306122448979593,1.2116903504194741e-18
0,113544.89795918367,20.10204081632653,1.2116903504194741e-18
0,113544.89795918367,20.897959183673468,1.615587133892632e-18
0,113544.89795918367,21.693877551020407,1.615587133892632e-18
0,113544.89795918367,22.489795918367346,1.2116903504194741e-18
0,113544.89795918367,23.285714285714285,
0,113544.89795918367,24.081632653061224,
0,113544.89795918367,24.877551020408163,
0,113544.89795918367,25.6734693877551,
0,113544.89795918367,26.46938775510204,
0,113544.89795918367,27.26530612244898,
0,113544.89795918367,28.06122448979592,
0,113544.89795918367,28.857142857142858,
0,113544.89795918367,29.653061224489797,
0,113544.89795918367,30.448979591836736,
