,Ambient Pressure [Pa],dT [K],$r$ [m],Time_r [s]
0,101300.0,1.0,1.0001126910903286e-06,1.1000000000000001e-08
0,101300.0,1.7959183673469388,1.0002023044921576e-06,1.3e-08
0,101300.0,2.5918367346938775,1.0002918505185765e-06,1.5000000000000002e-08
0,101300.0,3.387755102040816,1.0003813307426633e-06,1.6e-08
0,101300.0,4.183673469387755,1.0004707463394895e-06,1.7e-08
0,101300.0,4.979591836734694,1.0005600982989907e-06,1.9e-08
0,101300.0,5.775510204081632,1.0006493875132123e-06,2e-08
0,101300.0,6.571428571428571,1.0007386148220356e-06,2.1000000000000003e-08
0,101300.0,7.36734693877551,1.000827781036801e-06,2.2000000000000002e-08
0,101300.0,8.16326530612245,1.0009168869504166e-06,2.3e-08
0,101300.0,8.959183673469388,1.0010059333440496e-06,2.5000000000000002e-08
0,101300.0,9.755102040816327,1.0010949209876445e-06,2.6e-08
0,101300.0,10.551020408163264,1.001183850639462e-06,2.7e-08
0,101300.0,11.346938775510203,1.0012727230452075e-06,2.8000000000000003e-08
0,101300.0,12.142857142857142,1.001361538935051e-06,2.9e-08
0,101300.0,12.938775510204081,1.001450299022562e-06,3.0000000000000004e-08
0,101300.0,13.73469387755102,1.0015390040026939e-06,3.1e-08
0,101300.0,14.53061224489796,1.0016276545503768e-06,3.2e-08
0,101300.0,15.326530612244898,1.0017162513206135e-06,3.2e-08
0,101300.0,16.122448979591837,1.0018047949474003e-06,3.3000000000000004e-08
0,101300.0,16.918367346938776,1.0018932860437845e-06,3.4e-08
0,101300.0,17.714285714285715,1.0019817252035674e-06,3.5e-08
0,101300.0,18.510204081632654,1.0020701130000555e-06,3.6000000000000005e-08
0,101300.0,19.306122448979593,1.002158449988997e-06,3.7e-08
0,101300.0,20.10204081632653,1.002246736708468e-06,3.7e-08
0,101300.0,20.897959183673468,1.002334973680737e-06,3.8e-08
0,101300.0,21.693877551020407,1.002423161412972e-06,3.9000000000000005e-08
0,101300.0,22.489795918367346,1.002511300397688e-06,4e-08
0,101300.0,23.285714285714285,1.0025993911154681e-06,4e-08
0,101300.0,24.081632653061224,1.0026874340353159e-06,4.1e-08
0,101300.0,24.877551020408163,1.0027754296151844e-06,4.2000000000000006e-08
0,101300.0,25.6734693877551,1.0028633783025912e-06,4.3e-08
0,101300.0,26.46938775510204,1.0029512805375771e-06,4.3e-08
0,101300.0,27.26530612244898,1.0030391367509502e-06,4.4000000000000004e-08
0,101300.0,28.06122448979592,1.003126947365728e-06,4.4000000000000004e-08
0,101300.0,28.857142857142858,1.0032147127983787e-06,4.5000000000000006e-08
0,101300.0,29.653061224489797,1.0033024334588477e-06,4.6e-08
0,101300.0,30.448979591836736,1.003390109750372e-06,4.6e-08
0,101300.0,31.244897959183675,1.0034777420713506e-06,4.7000000000000004e-08
0,101300.0,32.04081632653062,1.0035653308129247e-06,4.8000000000000006e-08
0,101300.0,32.83673469387755,1.0036528763633443e-06,4.8000000000000006e-08
0,101300.0,33.63265306122449,1.003740379104355e-06,4.9e-08
0,101300.0,34.42857142857143,1.00382783941306e-06,4.9e-08
0,101300.0,35.224489795918366,1.0039152576621833e-06,5.0000000000000004e-08
0,101300.0,36.02040816326531,1.0040026342196664e-06,5.0000000000000004e-08
0,101300.0,36.816326530612244,1.0040899694490179e-06,5.1e-08
