drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-2.66973e-09,0,1,2.69266e+06,0.00445906,0.585223,91.7814,1.95463,709871,0,100430,374.072,1.06037e-09,5858.7,0,0,0,0.353553,0.353553,-0.5,0,2
-2.68743e-09,0.171132,1,2.66393e+06,0.00447546,0.585396,146.772,1.95457,710157,0.100186,100463,374.083,1.06038e-09,11951.6,-6.93683,6.15336,-3.31154e-15,0.388908,0.388908,-0.5,1,2
-2.65769e-09,0.219962,1,2.52965e+06,0.00455648,0.585661,231.446,1.95479,726784,0.128824,100510,374.091,1.06019e-09,22696.6,6.24794,1.50786,-1.21356e-16,0.424264,0.424264,-0.5,2,2
-2.51924e-09,0.219933,1,2.34961e+06,0.00466903,0.585852,267.268,1.95607,803238,0.128847,100534,374.06,1.05924e-09,29534.1,22.5764,0.257737,8.24801e-16,0.459619,0.459619,-0.5,3,2
-2.27209e-09,0.202339,1,2.26274e+06,0.00472544,0.586069,263.494,1.95927,1.03421e+06,0.118582,100546,373.969,1.05694e-09,30955.3,41.4945,0.503153,9.46209e-16,0.494975,0.494975,-0.5,4,2
-1.81012e-09,0.166176,1,2.25577e+06,0.00473013,0.586449,217.489,1.96597,1.84778e+06,0.0974345,100557,373.771,1.05217e-09,25644.8,62.5349,1.32815,-8.06732e-16,0.53033,0.53033,-0.5,5,2
-1.01205e-09,0.117199,1,2.2737e+06,0.00471772,0.587093,148.943,1.97779,5.68832e+06,0.0687691,100573,373.427,1.04397e-09,17151.3,80.5798,1.94207,-7.41937e-16,0.565685,0.565685,-0.5,6,2
-1.13208e-10,0.0748801,1,2.29992e+06,0.00469976,0.587816,86.8511,1.99117,1.31134e+07,0.0439856,100592,373.044,1.03483e-09,9330.87,92.0796,2.50556,4.8162e-17,0.601041,0.601041,-0.5,7,2
6.07407e-10,0.0463352,1,2.3192e+06,0.00468664,0.588437,43.8659,2.00201,2.18413e+07,0.0272553,100614,372.738,1.0275e-09,3929.13,97.8671,3.11649,-1.66654e-17,0.636396,0.636396,-0.5,8,2
1.07891e-09,0.0322662,1,2.33257e+06,0.00467764,0.588862,23.3982,2.00918,3.00459e+07,0.0189981,100634,372.542,1.02272e-09,1670.04,100.234,3.52954,-5.37078e-16,0.671752,0.671752,-0.5,9,2
1.21886e-09,0.0268311,1,2.32357e+06,0.00468383,0.589043,14.1649,2.01145,3.35369e+07,0.0158042,100648,372.483,1.02122e-09,772.66,100.95,3.42343,-4.36606e-16,0.707107,0.707107,-0.5,10,2
-2.65905e-09,0,1,2.68712e+06,0.00446212,0.584831,108.285,1.9541,676862,0,100362,374.067,1.0608e-09,6880.5,0,0,0,0.324724,0.380203,-0.5,11,2
-2.63892e-09,0.174321,1,2.56808e+06,0.00453344,0.5851,179.913,1.95427,690315,0.102,100410,374.077,1.06064e-09,18169.6,-2.90851,4.04241,-3.75972e-17,0.357196,0.418223,-0.5,12,2
-2.53577e-09,0.194931,1,2.35272e+06,0.00466734,0.585568,257.608,1.95541,760158,0.114145,100487,374.068,1.05976e-09,30872,18.8216,-0.493798,4.81119e-16,0.389669,0.456243,-0.5,13,2
-2.26296e-09,0.17515,1,2.2447e+06,0.00473804,0.585954,239.973,1.95913,1.03254e+06,0.102623,100526,373.97,1.05706e-09,29669,41.7331,-0.251915,1.06592e-16,0.422141,0.494264,-0.5,14,2
-1.64537e-09,0.133539,1,2.24176e+06,0.00473998,0.586441,180.314,1.96814,2.39151e+06,0.0782921,100539,373.709,1.05068e-09,22018,66.5427,1.17054,-1.15961e-15,0.454614,0.532284,-0.5,15,2
-6.52238e-10,0.0870017,1,2.2665e+06,0.00472274,0.587213,106.172,1.98285,8.13111e+06,0.0510602,100554,373.282,1.04051e-09,11933.4,86.1259,2.69882,2.4754e-16,0.487086,0.570304,-0.5,16,2
3.91448e-10,0.052346,1,2.29805e+06,0.00470103,0.588104,51.0801,1.99853,1.87923e+07,0.0307738,100584,372.834,1.02986e-09,4766.83,96.3553,3.59052,-4.65826e-16,0.519558,0.608325,-0.5,17,2
1.06049e-09,0.0372374,1,2.31883e+06,0.00468687,0.588696,26.7629,2.00868,2.93677e+07,0.0219196,100606,372.55,1.02307e-09,1880.34,100.099,4.2515,2.33516e-16,0.552031,0.646345,-0.5,18,2
1.29907e-09,0.0294885,1,2.31237e+06,0.00469133,0.588978,15.5945,2.01248,3.57136e+07,0.0173676,100628,372.449,1.02056e-09,810.537,101.338,4.62733,1.1224e-15,0.584503,0.684365,-0.5,19,2
1.34574e-09,0.0276112,1,2.29832e+06,0.00470103,0.589145,10.3689,2.01344,3.77768e+07,0.0162671,100651,372.427,1.01992e-09,388.554,101.558,4.56158,-3.19031e-16,0.616976,0.722386,-0.5,20,2
1.29174e-09,0.0258644,1,2.24612e+06,0.00473831,0.589249,7.35389,2.01301,3.68759e+07,0.0152405,100674,372.448,1.02018e-09,203.608,101.298,4.47735,-4.95759e-16,0.649448,0.760406,-0.5,21,2
-2.62919e-09,0,1,2.6897e+06,0.0044607,0.584512,112.128,1.95396,664206,0,100300,374.056,1.06095e-09,7146.37,0,0,0,0.293892,0.404508,-0.5,22,2
-2.51675e-09,0.157735,1,2.49346e+06,0.0045812,0.584768,167.99,1.95498,722848,0.0922413,100341,374.038,1.06019e-09,17923.8,4.96645,2.072,-8.75411e-16,0.323282,0.444959,-0.5,23,2
-2.24534e-09,0.145288,1,2.25477e+06,0.0047313,0.585423,204.581,1.95855,978874,0.0850527,100434,373.961,1.05754e-09,25974.2,38.3106,-1.37052,-1.74747e-15,0.352671,0.48541,-0.5,24,2
-1.61346e-09,0.109318,1,2.2233e+06,0.00475308,0.586274,146.507,1.96825,2.48419e+06,0.0640735,100508,373.701,1.05064e-09,17960.3,65.9495,1.05554,-6.00528e-16,0.38206,0.525861,-0.5,25,2
-4.71313e-10,0.0698707,1,2.25411e+06,0.00473139,0.587193,78.858,1.98527,9.17126e+06,0.041013,100532,373.212,1.03887e-09,8516.52,88.013,2.92499,-8.6006e-16,0.41145,0.566312,-0.5,26,2
6.64261e-10,0.0481451,1,2.28942e+06,0.00470691,0.588066,38.5268,2.00224,2.22013e+07,0.0283079,100548,372.726,1.0274e-09,3013.98,98.2877,4.40612,-1.19671e-17,0.440839,0.606763,-0.5,27,2
1.2627e-09,0.0381451,1,2.3055e+06,0.00469589,0.588656,21.7779,2.01146,3.39484e+07,0.0224536,100579,372.471,1.02127e-09,1204.74,101.283,4.99379,5.74301e-16,0.470228,0.647214,-0.5,28,2
1.41326e-09,0.0323995,1,2.29147e+06,0.00470565,0.588939,13.7031,2.01408,3.91554e+07,0.0190811,100609,372.404,1.01955e-09,553.224,102.038,5.28708,4.8396e-16,0.499617,0.687664,-0.5,29,2
1.39887e-09,0.0295138,1,2.24063e+06,0.00474167,0.589099,9.27233,2.01429,3.97037e+07,0.0173865,100637,372.404,1.01939e-09,278.461,102.007,5.3144,8.44734e-16,0.529007,0.728115,-0.5,30,2
1.31843e-09,0.0281639,1,2.18835e+06,0.00477946,0.589188,6.75101,2.01344,3.78388e+07,0.0165939,100661,372.433,1.01991e-09,152.042,101.612,5.19972,7.80647e-17,0.558396,0.768566,-0.5,31,2
1.20298e-09,0.0242322,1,2.13045e+06,0.00482233,0.58927,4.69171,2.0121,3.4938e+07,0.0142791,100687,372.479,1.02076e-09,83.6764,100.985,5.22496,-6.05286e-16,0.587785,0.809017,-0.5,32,2
-2.5986e-09,0,1,2.69368e+06,0.00445849,0.584463,94.224,1.95427,677856,0,100286,374.04,1.06074e-09,6051.88,0,0,0,0.261249,0.42632,-0.5,33,2
-2.24154e-09,0.117735,1,2.44964e+06,0.0046125,0.584734,115.281,1.95838,986500,0.0688372,100304,373.927,1.05778e-09,11200.1,17.1019,1.50638,-3.70944e-16,0.287374,0.468952,-0.5,34,2
-1.59496e-09,0.091147,1,2.2012e+06,0.00476929,0.585447,113.73,1.96707,1.94555e+06,0.0533539,100364,373.692,1.05155e-09,12997.3,60.9742,-0.284768,-9.62933e-16,0.313499,0.511584,-0.5,35,2
-5.551e-10,0.0666715,1,2.2279e+06,0.00475001,0.586708,68.0357,1.98328,8.07069e+06,0.0391054,100459,373.25,1.04029e-09,6536.12,87.0553,3.65668,-3.34422e-16,0.339624,0.554216,-0.5,36,2
7.01509e-10,0.0497665,1,2.27537e+06,0.00471659,0.587891,35.7233,2.00248,2.21857e+07,0.0292545,100514,372.712,1.02727e-09,2427,98.7995,4.52248,-5.93957e-16,0.365749,0.596848,-0.5,37,2
1.35711e-09,0.0425688,1,2.28941e+06,0.00470688,0.588456,21.9141,2.01249,3.58806e+07,0.0250493,100534,372.432,1.02064e-09,1056.46,102.183,5.5327,4.1604e-17,0.391874,0.63948,-0.5,38,2
