drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-1.35079e-09,0.00328789,1,1.30636e+07,0.002634,0.589885,24.8258,1.98582,6.70205e+06,0.00228171,101020,373.32,1.03798e-09,1979.58,0,0,0,0.353553,0.353553,-0.5,0,2
-1.40313e-09,0.0689784,1,1.28503e+07,0.00264924,0.58996,46.9194,1.98549,6.56978e+06,0.0406977,101036,373.333,1.03819e-09,3062.15,-6.05903,4.48674,-4.95044e-15,0.388908,0.388908,-0.5,1,2
-1.40269e-09,0.107822,1,1.12501e+07,0.00278994,0.59007,75.8559,1.98515,6.44366e+06,0.063623,101058,373.349,1.0384e-09,5024.21,2.95904,0.578729,-9.86973e-16,0.424264,0.424264,-0.5,2,2
-1.23298e-09,0.101804,1,8.27965e+06,0.00311799,0.590143,82.8361,1.98556,6.63586e+06,0.0600789,101068,373.339,1.03812e-09,6134.33,13.9946,-0.214008,8.68264e-16,0.459619,0.459619,-0.5,3,2
-9.88054e-10,0.0921335,1,5.8228e+06,0.00348642,0.590231,78.8739,1.98686,7.26491e+06,0.0543794,101073,373.302,1.03723e-09,6097.3,25.8496,0.0102384,1.85539e-15,0.494975,0.494975,-0.5,4,2
-6.85175e-10,0.0802808,1,4.60359e+06,0.00374174,0.590388,65.9888,1.98963,8.89106e+06,0.047394,101078,373.223,1.03535e-09,4920.15,38.0751,0.506006,-1.44531e-15,0.53033,0.53033,-0.5,5,2
-3.22492e-10,0.0672638,1,4.11941e+06,0.00387312,0.590614,48.5412,1.99378,1.18984e+07,0.0397231,101084,373.107,1.03256e-09,3243.43,47.4185,0.859275,-1.34179e-15,0.565685,0.565685,-0.5,6,2
1.91107e-11,0.0548227,1,3.92936e+06,0.00393198,0.590845,32.1405,1.99798,1.55129e+07,0.0323893,101092,372.991,1.02974e-09,1812.37,52.7911,1.21721,3.82791e-17,0.601041,0.601041,-0.5,7,2
2.66611e-10,0.0439399,1,3.8586e+06,0.00395531,0.591025,19.8008,2.00112,1.86269e+07,0.0259686,101099,372.904,1.02765e-09,859.348,55.1928,1.53266,-6.5294e-17,0.636396,0.636396,-0.5,8,2
4.00956e-10,0.0373128,1,3.83501e+06,0.00396327,0.591134,12.4385,2.00286,2.06428e+07,0.0220566,101105,372.857,1.02649e-09,410.992,56.1694,1.71443,-8.12927e-16,0.671752,0.671752,-0.5,9,2
4.37478e-10,0.0308017,1,3.83422e+06,0.00396352,0.591192,7.98895,2.00338,2.13167e+07,0.0182095,101111,372.845,1.02614e-09,203.982,56.3773,1.62121,-6.62836e-16,0.707107,0.707107,-0.5,10,2
-1.32302e-09,0.00349436,1,1.30118e+07,0.0026375,0.589704,28.1383,1.98573,6.62555e+06,0.00242428,100988,373.314,1.03807e-09,2351,0,0,0,0.324724,0.380203,-0.5,11,2
-1.34403e-09,0.0596867,1,1.19112e+07,0.00272586,0.589819,54.3648,1.98542,6.51402e+06,0.0352081,101011,373.328,1.03826e-09,4509.45,-2.97569,3.35844,1.17077e-15,0.357196,0.418223,-0.5,12,2
-1.24455e-09,0.0865408,1,8.87053e+06,0.00304321,0.590029,80.1843,1.98552,6.59804e+06,0.0510616,101048,373.334,1.03816e-09,6765.31,11.8958,-0.515525,4.59111e-16,0.389669,0.456243,-0.5,13,2
-9.60238e-10,0.0766279,1,5.89882e+06,0.0034708,0.590198,71.8758,1.98715,7.41804e+06,0.0452242,101065,373.293,1.03704e-09,6092.22,26.2292,-0.283401,2.32595e-16,0.422141,0.494264,-0.5,14,2
-5.74743e-10,0.0644727,1,4.50096e+06,0.00376834,0.590394,55.4949,1.99081,9.72169e+06,0.0380621,101070,373.189,1.03456e-09,4380.93,40.4851,0.553165,-2.08417e-15,0.454614,0.532284,-0.5,15,2
-1.4676e-10,0.0562952,1,4.01278e+06,0.00390594,0.590665,38.0944,1.99582,1.36013e+07,0.0332501,101076,373.047,1.0312e-09,2482.84,50.2688,1.35882,4.9356e-16,0.487086,0.570304,-0.5,16,2
1.9738e-10,0.0505324,1,3.85138e+06,0.00395795,0.590921,24.1736,2.00015,1.76355e+07,0.0298603,101087,372.927,1.0283e-09,1123.68,54.7081,1.84321,-9.18072e-16,0.519558,0.608325,-0.5,17,2
3.91869e-10,0.0454575,1,3.80205e+06,0.00397471,0.591083,15.9286,2.00267,2.04167e+07,0.026869,101096,372.857,1.02662e-09,539.045,56.2216,2.16459,4.77255e-16,0.552031,0.646345,-0.5,18,2
4.63676e-10,0.0387841,1,3.78992e+06,0.0039789,0.591171,10.3103,2.00366,2.16923e+07,0.0229279,101104,372.832,1.02596e-09,264.646,56.6786,2.31211,2.29282e-15,0.584503,0.684365,-0.5,19,2
4.76416e-10,0.0318529,1,3.79322e+06,0.00397774,0.591224,6.60783,2.0039,2.20312e+07,0.0188321,101112,372.828,1.0258e-09,130.427,56.713,2.21931,-4.91132e-16,0.616976,0.722386,-0.5,20,2
4.59547e-10,0.0231767,1,3.79222e+06,0.0039781,0.591259,4.04293,2.00377,2.18678e+07,0.0137033,101120,372.835,1.02588e-09,64.7788,56.4462,2.21774,-8.94893e-16,0.649448,0.760406,-0.5,21,2
-1.29921e-09,0.00340527,1,1.30232e+07,0.00263674,0.589615,26.632,1.98576,6.62597e+06,0.00236211,100973,373.309,1.03806e-09,2177.5,0,0,0,0.293892,0.404508,-0.5,22,2
-1.22226e-09,0.0473866,1,1.08512e+07,0.00283103,0.589691,47.7239,1.98584,6.68098e+06,0.0279455,100985,373.309,1.03799e-09,4346.71,2.38143,2.34143,-2.08824e-15,0.323282,0.444959,-0.5,23,2
